Strategic_FPTP_Efficiency_Gap,Honest_FPTP_Efficiency_Gap,Approval_Efficiency_Gap,Borda_Efficiency_Gap,Classic_STV_Efficiency_Gap,Complete_STV_Efficiency_Gap,Wasted_Ballot_Efficiency_Gap
-0.3834,-0.2504,-0.6577,-0.6454666666666666,-0.3941,-0.3999,-0.1354
-0.4039,-0.2747,-0.65855,-0.6480666666666667,-0.4205,-0.4238,-0.1534
-0.3973,-0.2696,-0.66555,-0.6519833333333334,-0.4095,-0.4149,-0.1636
-0.3966,-0.2796,-0.6563,-0.6475,-0.4181,-0.4202,-0.1447
-0.4164,-0.2955,-0.6659,-0.6545166666666666,-0.4275,-0.4351,-0.1732
-0.3839,-0.2519,-0.6548,-0.6434666666666666,-0.3943,-0.4,-0.1222
-0.4275,-0.2931,-0.66475,-0.6548666666666667,-0.4419,-0.4428,-0.1654
-0.3916,-0.2653,-0.65895,-0.64735,-0.4076,-0.412,-0.1477
-0.4173,-0.2896,-0.666,-0.6561333333333333,-0.433,-0.4395,-0.1597
-0.3905,-0.2573,-0.66065,-0.6481333333333333,-0.404,-0.4054,-0.1393
-0.414,-0.2871,-0.65725,-0.6489333333333334,-0.4323,-0.4372,-0.1513
-0.4061,-0.2747,-0.6605,-0.6481666666666667,-0.4217,-0.4167,-0.1477
-0.4095,-0.2797,-0.65895,-0.65005,-0.4195,-0.424,-0.1525
-0.4106,-0.2861,-0.6624,-0.6508833333333334,-0.4244,-0.4283,-0.1528
-0.4123,-0.2942,-0.66295,-0.6508166666666667,-0.4285,-0.4378,-0.1612
-0.4421,-0.3159,-0.67155,-0.6623666666666667,-0.4672,-0.466,-0.1927
-0.3886,-0.2691,-0.6558,-0.6437,-0.4026,-0.4131,-0.1336
-0.4113,-0.2877,-0.6675,-0.65545,-0.4309,-0.4369,-0.1633
-0.3845,-0.244,-0.66035,-0.6467666666666667,-0.3989,-0.3898,-0.1375
-0.4007,-0.265,-0.66585,-0.6510333333333334,-0.4153,-0.4132,-0.1597
-0.3758,-0.2536,-0.6607,-0.6448,-0.3879,-0.4031,-0.1453
-0.4,-0.2831,-0.65895,-0.6499666666666667,-0.4222,-0.425,-0.1444
-0.3878,-0.2713,-0.65355,-0.6443,-0.4026,-0.4183,-0.1297
-0.4038,-0.2829,-0.6593,-0.6517833333333334,-0.419,-0.4286,-0.1546
-0.4043,-0.2837,-0.6609,-0.6491666666666667,-0.4256,-0.4272,-0.1441
-0.3859,-0.2629,-0.6592,-0.646,-0.403,-0.4084,-0.1456
-0.4422,-0.3066,-0.6705,-0.6606,-0.4543,-0.4542,-0.1843
-0.4085,-0.2855,-0.6625,-0.6524666666666666,-0.4281,-0.431,-0.1633
-0.3964,-0.2761,-0.65985,-0.64955,-0.4168,-0.4188,-0.1579
-0.434,-0.3073,-0.67465,-0.6591666666666667,-0.4588,-0.4549,-0.1822
-0.3914,-0.2753,-0.66465,-0.65235,-0.4173,-0.4225,-0.1561
-0.3941,-0.2718,-0.6586,-0.64655,-0.4079,-0.4177,-0.1537
-0.4155,-0.2867,-0.6588,-0.6528666666666667,-0.427,-0.4309,-0.1606
-0.4252,-0.2973,-0.6665,-0.6581333333333333,-0.4445,-0.4468,-0.1693
-0.4245,-0.3037,-0.6689,-0.65375,-0.4353,-0.4406,-0.1762
-0.4484,-0.3249,-0.66965,-0.6636333333333333,-0.473,-0.4721,-0.1849
-0.4202,-0.2913,-0.6667,-0.65645,-0.4319,-0.435,-0.1663
-0.3834,-0.2601,-0.6678,-0.6504,-0.4005,-0.4096,-0.1687
-0.4361,-0.3035,-0.6765,-0.66275,-0.4592,-0.4574,-0.1936
-0.4007,-0.2722,-0.65985,-0.6471,-0.4092,-0.416,-0.1444
-0.3914,-0.2663,-0.66065,-0.6497666666666667,-0.4057,-0.4146,-0.1444
-0.3932,-0.2712,-0.6572,-0.6462166666666667,-0.4105,-0.4125,-0.1453
-0.4086,-0.2878,-0.6622,-0.6499333333333334,-0.4242,-0.4267,-0.1618
-0.3828,-0.2513,-0.66425,-0.6472333333333333,-0.3925,-0.3898,-0.1516
-0.4285,-0.3013,-0.66185,-0.6519833333333334,-0.4437,-0.4433,-0.1627
-0.4128,-0.2973,-0.6617,-0.6538166666666667,-0.4301,-0.4376,-0.1585
-0.4063,-0.281,-0.66715,-0.6541,-0.4222,-0.4258,-0.1687
-0.3951,-0.2751,-0.65345,-0.64495,-0.4101,-0.4124,-0.1459
-0.3934,-0.264,-0.65745,-0.6472333333333333,-0.4152,-0.4128,-0.1408
-0.4366,-0.3045,-0.6717,-0.6606666666666666,-0.4515,-0.4537,-0.1849
-0.3843,-0.2651,-0.65745,-0.6450333333333333,-0.3986,-0.4064,-0.1378
-0.4013,-0.2821,-0.66125,-0.6525166666666666,-0.4246,-0.4302,-0.1591
-0.3891,-0.2687,-0.65915,-0.6486333333333333,-0.4071,-0.4158,-0.1495
-0.3753,-0.2569,-0.65475,-0.6424166666666666,-0.3862,-0.3983,-0.1276
-0.3922,-0.2748,-0.6583,-0.6476333333333333,-0.4104,-0.4151,-0.1474
-0.4163,-0.286,-0.6731,-0.6581166666666667,-0.4311,-0.4345,-0.1783
-0.4107,-0.2794,-0.6653,-0.6525666666666666,-0.4268,-0.4275,-0.1606
-0.3873,-0.2599,-0.6564,-0.64235,-0.3989,-0.3965,-0.1357
-0.4151,-0.2832,-0.6663,-0.65335,-0.4267,-0.4326,-0.1732
-0.3785,-0.2498,-0.65445,-0.6438833333333334,-0.3918,-0.3957,-0.1282
-0.4181,-0.301,-0.67075,-0.6569833333333334,-0.4376,-0.442,-0.1738
-0.3982,-0.2692,-0.65835,-0.6446,-0.4171,-0.4202,-0.1399
-0.4163,-0.2973,-0.67745,-0.6611833333333333,-0.44,-0.4399,-0.1924
-0.409,-0.2805,-0.6635,-0.65385,-0.4194,-0.4255,-0.1618
-0.4278,-0.3057,-0.669,-0.6575333333333333,-0.4522,-0.4571,-0.1831
-0.4184,-0.3001,-0.66765,-0.6558666666666667,-0.4392,-0.4399,-0.172
-0.3932,-0.2664,-0.65365,-0.646,-0.4017,-0.4095,-0.1408
-0.4264,-0.2932,-0.6628,-0.6525,-0.4381,-0.437,-0.1687
-0.3961,-0.2745,-0.66255,-0.6503833333333333,-0.4149,-0.4159,-0.1552
-0.3811,-0.2664,-0.6604,-0.6450666666666667,-0.3982,-0.4109,-0.1387
-0.393,-0.2643,-0.6588,-0.6461666666666667,-0.408,-0.4153,-0.1435
-0.4326,-0.3082,-0.6755,-0.6612333333333333,-0.456,-0.452,-0.1915
-0.4039,-0.2673,-0.6633,-0.6512166666666667,-0.4148,-0.4168,-0.1603
-0.3743,-0.2535,-0.65875,-0.6460666666666667,-0.3856,-0.3962,-0.139
-0.413,-0.2801,-0.66495,-0.6522166666666667,-0.4254,-0.4256,-0.1534
-0.3938,-0.2614,-0.65815,-0.6480833333333333,-0.4022,-0.4094,-0.1384
-0.4216,-0.2923,-0.65595,-0.6493666666666666,-0.4434,-0.4366,-0.1543
-0.421,-0.2994,-0.66365,-0.65305,-0.4404,-0.4448,-0.1666
-0.4047,-0.2677,-0.6614,-0.6475666666666666,-0.4152,-0.414,-0.1489
-0.4138,-0.2852,-0.666,-0.6576166666666666,-0.4299,-0.4334,-0.1717
-0.3957,-0.2747,-0.6583,-0.64625,-0.4085,-0.4185,-0.1432
-0.4013,-0.2813,-0.65475,-0.6486166666666666,-0.4166,-0.4262,-0.1468
-0.4118,-0.2874,-0.66455,-0.6540333333333334,-0.4313,-0.4341,-0.1768
-0.3997,-0.2775,-0.6639,-0.6501333333333333,-0.4222,-0.4265,-0.1582
-0.3819,-0.257,-0.6535,-0.6427833333333334,-0.4007,-0.4032,-0.133
-0.385,-0.262,-0.6514,-0.6424,-0.3994,-0.4041,-0.1225
-0.4041,-0.2767,-0.66725,-0.6551,-0.4352,-0.4312,-0.1663
-0.4066,-0.2669,-0.66125,-0.6496666666666666,-0.4138,-0.4156,-0.1507
-0.3914,-0.2494,-0.6578,-0.6452833333333333,-0.3996,-0.4064,-0.1423
-0.4129,-0.2798,-0.6635,-0.6536333333333333,-0.4235,-0.4304,-0.163
-0.4083,-0.2763,-0.66325,-0.6505,-0.4274,-0.4264,-0.1621
-0.3948,-0.2721,-0.66035,-0.6487666666666667,-0.4095,-0.4136,-0.1423
-0.395,-0.2796,-0.6622,-0.6485666666666666,-0.4092,-0.4178,-0.1516
-0.4278,-0.2967,-0.67525,-0.6633,-0.448,-0.4484,-0.1945
-0.3981,-0.2674,-0.6605,-0.6501666666666667,-0.4121,-0.4113,-0.1591
-0.4205,-0.3097,-0.66465,-0.64935,-0.4451,-0.4514,-0.1642
-0.4296,-0.3115,-0.67535,-0.6611666666666667,-0.4571,-0.4569,-0.1864
-0.3774,-0.258,-0.65165,-0.6403166666666666,-0.3933,-0.3973,-0.1231
-0.4208,-0.3018,-0.66615,-0.6538666666666667,-0.4474,-0.4449,-0.1756
-0.3807,-0.2557,-0.6574,-0.64575,-0.3951,-0.4053,-0.1306
-0.3727,-0.2563,-0.65255,-0.6396833333333334,-0.3834,-0.3938,-0.1279
-0.3883,-0.2587,-0.66045,-0.6484,-0.4033,-0.4038,-0.1477
-0.394,-0.2674,-0.66325,-0.6484666666666666,-0.4048,-0.4157,-0.1516
-0.4299,-0.3132,-0.6675,-0.6570333333333334,-0.4608,-0.4592,-0.1798
-0.3951,-0.2741,-0.65665,-0.64465,-0.4159,-0.4196,-0.1348
-0.3982,-0.2773,-0.65455,-0.6465666666666666,-0.4152,-0.4176,-0.142
-0.4186,-0.2957,-0.66875,-0.6557,-0.4465,-0.4444,-0.1699
-0.4047,-0.2767,-0.6601,-0.6484833333333333,-0.4131,-0.4216,-0.1513
-0.4086,-0.2832,-0.6656,-0.6545,-0.4237,-0.4315,-0.1624
-0.3986,-0.2756,-0.6662,-0.6498,-0.421,-0.4221,-0.1657
-0.4301,-0.3036,-0.66795,-0.6581666666666667,-0.4435,-0.4474,-0.1708
-0.4326,-0.3018,-0.66215,-0.65545,-0.4521,-0.4509,-0.1582
-0.3922,-0.2735,-0.65745,-0.648,-0.4179,-0.4247,-0.1444
-0.395,-0.2649,-0.6628,-0.649,-0.4059,-0.4152,-0.148
-0.4291,-0.2963,-0.673,-0.6615833333333333,-0.4479,-0.4483,-0.1852
-0.4166,-0.2877,-0.6646,-0.6536333333333333,-0.4311,-0.4378,-0.1675
-0.4151,-0.2891,-0.6675,-0.65565,-0.432,-0.4358,-0.1741
-0.3845,-0.2607,-0.6598,-0.64655,-0.399,-0.4001,-0.1387
-0.3987,-0.2722,-0.663,-0.6501333333333333,-0.4172,-0.4268,-0.1525
-0.4079,-0.2875,-0.666,-0.6552333333333333,-0.4263,-0.4293,-0.166
-0.418,-0.2934,-0.66405,-0.6560166666666667,-0.4386,-0.4427,-0.169
-0.3993,-0.2784,-0.66805,-0.6514333333333333,-0.4216,-0.4258,-0.1699
-0.3837,-0.2624,-0.66525,-0.6495,-0.4032,-0.414,-0.1561
-0.4199,-0.2898,-0.6684,-0.6570166666666667,-0.4367,-0.4384,-0.1714
-0.4169,-0.2873,-0.66945,-0.6554833333333333,-0.4343,-0.4354,-0.1708
-0.4087,-0.2873,-0.67195,-0.6569333333333334,-0.4258,-0.4303,-0.1795
-0.4176,-0.298,-0.6647,-0.6530166666666667,-0.4376,-0.4388,-0.1699
-0.3922,-0.291,-0.6506,-0.6432,-0.4055,-0.4215,-0.1363
-0.4287,-0.3035,-0.66785,-0.6562833333333333,-0.4457,-0.452,-0.1822
-0.4116,-0.2798,-0.66565,-0.6504166666666666,-0.4267,-0.4254,-0.1672
-0.4133,-0.2937,-0.6636,-0.6514166666666666,-0.4424,-0.4413,-0.1636
-0.4058,-0.2895,-0.65715,-0.6489833333333334,-0.421,-0.4294,-0.1459
-0.3924,-0.2598,-0.6595,-0.6475666666666666,-0.4046,-0.409,-0.1444
-0.4423,-0.3103,-0.66685,-0.65595,-0.4568,-0.4539,-0.1798
-0.4025,-0.2802,-0.66125,-0.6496333333333333,-0.4198,-0.4238,-0.157
-0.4038,-0.2787,-0.6717,-0.657,-0.4233,-0.427,-0.1756
-0.4054,-0.2794,-0.66435,-0.6537166666666666,-0.4205,-0.4246,-0.1576
-0.4173,-0.2962,-0.66895,-0.6566166666666666,-0.4375,-0.4431,-0.1738
-0.4167,-0.2936,-0.66785,-0.6548,-0.4348,-0.4413,-0.1762
-0.406,-0.2783,-0.66765,-0.6555,-0.4268,-0.4272,-0.1753
-0.3828,-0.271,-0.6579,-0.6449833333333334,-0.398,-0.4076,-0.1435
-0.4137,-0.2872,-0.6616,-0.6518333333333334,-0.4355,-0.4355,-0.1633
-0.4012,-0.2744,-0.6591,-0.6478,-0.4247,-0.419,-0.1498
-0.4064,-0.2818,-0.6664,-0.6526166666666666,-0.4228,-0.428,-0.1711
-0.4331,-0.3164,-0.6681,-0.6581,-0.4559,-0.4585,-0.175
-0.3986,-0.2756,-0.65685,-0.6473833333333333,-0.4122,-0.4199,-0.1534
-0.4092,-0.2814,-0.6642,-0.6533,-0.4299,-0.4293,-0.1606
-0.3909,-0.2695,-0.6557,-0.6450833333333333,-0.4057,-0.415,-0.1417
-0.392,-0.2722,-0.6564,-0.64555,-0.4029,-0.4171,-0.1447
-0.3759,-0.2546,-0.65365,-0.64015,-0.3868,-0.3934,-0.1303
-0.4217,-0.3002,-0.6673,-0.65285,-0.4397,-0.4421,-0.1747
-0.4018,-0.2658,-0.6657,-0.6531,-0.417,-0.4136,-0.1681
-0.4046,-0.2758,-0.661,-0.651,-0.4278,-0.4258,-0.1612
-0.4144,-0.2986,-0.6682,-0.6557833333333334,-0.4358,-0.4441,-0.1696
-0.3912,-0.2735,-0.65925,-0.6478833333333334,-0.4129,-0.4172,-0.1474
-0.3872,-0.2711,-0.65665,-0.6455333333333333,-0.3911,-0.4141,-0.1447
-0.4045,-0.2676,-0.6669,-0.6540833333333333,-0.4274,-0.4256,-0.169
-0.3862,-0.2682,-0.65115,-0.6426,-0.4027,-0.4062,-0.1333
-0.4086,-0.2964,-0.6631,-0.6520333333333334,-0.4289,-0.4374,-0.1651
-0.4252,-0.2989,-0.67015,-0.6585833333333333,-0.4403,-0.445,-0.1819
-0.3934,-0.2639,-0.6656,-0.65015,-0.4057,-0.4159,-0.1597
-0.4022,-0.2715,-0.66055,-0.6481333333333333,-0.4217,-0.4171,-0.1477
-0.3988,-0.2616,-0.6104,-0.6543833333333333,-0.4173,-0.4126,-0.1573
-0.4028,-0.272,-0.6628,-0.6504166666666666,-0.4167,-0.418,-0.1486
-0.3981,-0.2577,-0.65595,-0.6438333333333334,-0.4096,-0.4072,-0.1324
-0.375,-0.2421,-0.6565,-0.6423833333333333,-0.3798,-0.3836,-0.1261
-0.4167,-0.2862,-0.65995,-0.6527833333333334,-0.4309,-0.4345,-0.1594
-0.4102,-0.2866,-0.6652,-0.6500166666666667,-0.4252,-0.4306,-0.1675
-0.4093,-0.2836,-0.6675,-0.6533166666666667,-0.4231,-0.4305,-0.1555
-0.3893,-0.2724,-0.65065,-0.6419166666666667,-0.3977,-0.4124,-0.1309
-0.393,-0.2656,-0.65865,-0.6485833333333333,-0.4105,-0.4165,-0.1468
-0.4031,-0.2854,-0.6677,-0.6528166666666667,-0.4268,-0.4273,-0.1744
-0.4003,-0.2702,-0.65365,-0.6449166666666667,-0.416,-0.4207,-0.1384
-0.3911,-0.2735,-0.65535,-0.64595,-0.4071,-0.4116,-0.1468
-0.4033,-0.2866,-0.6656,-0.65155,-0.4256,-0.4324,-0.1627
-0.4157,-0.2961,-0.6701,-0.6571,-0.4382,-0.4409,-0.1789
-0.4235,-0.2951,-0.66895,-0.65835,-0.448,-0.4452,-0.175
-0.4059,-0.2797,-0.6585,-0.6493166666666667,-0.4285,-0.4302,-0.1531
-0.398,-0.2754,-0.6625,-0.6505166666666666,-0.4218,-0.4166,-0.1531
-0.4128,-0.2829,-0.6658,-0.6529833333333334,-0.4333,-0.4315,-0.1654
-0.4007,-0.2807,-0.6598,-0.6486333333333333,-0.4183,-0.4237,-0.1444
-0.3873,-0.2613,-0.65685,-0.6463333333333333,-0.4032,-0.4113,-0.1459
-0.4175,-0.2887,-0.6648,-0.6549,-0.4368,-0.437,-0.1669
-0.3997,-0.275,-0.6624,-0.6502,-0.4141,-0.4177,-0.1534
-0.4106,-0.2857,-0.6608,-0.6506833333333333,-0.4268,-0.4333,-0.169
-0.4157,-0.2882,-0.6626,-0.6502166666666667,-0.4308,-0.4316,-0.1636
-0.413,-0.2956,-0.6671,-0.6518166666666667,-0.4316,-0.4354,-0.1678
-0.4049,-0.2817,-0.66405,-0.6525833333333333,-0.4283,-0.4379,-0.1579
-0.423,-0.2983,-0.6648,-0.6543833333333333,-0.4391,-0.4396,-0.1729
-0.3916,-0.2747,-0.6669,-0.6517,-0.4081,-0.4194,-0.1606
-0.4066,-0.2793,-0.65625,-0.6480666666666667,-0.4203,-0.4267,-0.142
-0.3892,-0.2491,-0.5969,-0.6443333333333333,-0.397,-0.3995,-0.1414
-0.3969,-0.2657,-0.66575,-0.6519333333333334,-0.4116,-0.4153,-0.1591
-0.4157,-0.2817,-0.6131,-0.65495,-0.4321,-0.4323,-0.1738
-0.4276,-0.3106,-0.6623,-0.6542166666666667,-0.4441,-0.452,-0.1696
-0.3823,-0.2553,-0.65175,-0.6403833333333333,-0.3917,-0.3945,-0.1297
-0.4274,-0.2967,-0.6771,-0.6623333333333333,-0.4417,-0.4447,-0.19
-0.3893,-0.2617,-0.6,-0.64615,-0.4064,-0.4065,-0.1516
-0.4018,-0.2744,-0.65885,-0.6475,-0.4147,-0.4185,-0.142
-0.4024,-0.2755,-0.66115,-0.6487,-0.4178,-0.4207,-0.1573
-0.423,-0.2937,-0.6594,-0.6527666666666667,-0.4378,-0.4367,-0.1624
-0.3842,-0.2543,-0.65715,-0.6453666666666666,-0.3997,-0.4081,-0.13
-0.3943,-0.2672,-0.66265,-0.64845,-0.4032,-0.4092,-0.1471
-0.4182,-0.2935,-0.6668,-0.6552333333333333,-0.4483,-0.4446,-0.1738
-0.4004,-0.289,-0.6653,-0.6535833333333333,-0.4218,-0.4313,-0.1606
-0.4108,-0.2779,-0.6704,-0.6584666666666666,-0.4175,-0.4262,-0.1684
-0.4042,-0.2669,-0.662,-0.6492,-0.4158,-0.4198,-0.1609
-0.4018,-0.2778,-0.657,-0.6469,-0.4142,-0.4214,-0.154
-0.4035,-0.2765,-0.65375,-0.6455,-0.4228,-0.4222,-0.1429
-0.427,-0.3061,-0.66665,-0.6563833333333333,-0.4469,-0.452,-0.1759
-0.3902,-0.2647,-0.656,-0.6436,-0.4074,-0.4097,-0.1372
-0.4151,-0.2909,-0.66035,-0.6527,-0.4364,-0.4359,-0.1534
-0.3872,-0.2651,-0.6595,-0.6470833333333333,-0.3952,-0.4029,-0.1525
-0.404,-0.2787,-0.6646,-0.65335,-0.4267,-0.43,-0.1621
-0.4167,-0.2909,-0.6112,-0.6562666666666667,-0.4345,-0.4412,-0.1753
-0.3728,-0.2482,-0.65405,-0.63985,-0.3847,-0.3846,-0.1279
-0.4257,-0.3009,-0.664,-0.6545166666666666,-0.4359,-0.4409,-0.169
-0.4138,-0.2953,-0.6595,-0.6509333333333334,-0.431,-0.4345,-0.1453
-0.4093,-0.2904,-0.659,-0.6485833333333333,-0.4287,-0.4327,-0.1546
-0.4138,-0.278,-0.66105,-0.65105,-0.4224,-0.4242,-0.148
-0.4309,-0.3015,-0.67145,-0.6584833333333333,-0.4436,-0.4471,-0.1771
-0.3967,-0.2739,-0.65835,-0.6480833333333333,-0.4139,-0.4214,-0.1543
-0.3995,-0.2742,-0.65785,-0.6475333333333333,-0.4094,-0.4134,-0.145
-0.3981,-0.2679,-0.6086,-0.65225,-0.4064,-0.4125,-0.1615
-0.3902,-0.2707,-0.6556,-0.6447166666666667,-0.408,-0.4121,-0.1417
-0.4064,-0.286,-0.6654,-0.6526333333333333,-0.4275,-0.4286,-0.1798
-0.3893,-0.2681,-0.6641,-0.6486833333333333,-0.4068,-0.4123,-0.1534
-0.3996,-0.277,-0.65845,-0.6475,-0.4228,-0.4211,-0.1459
-0.3911,-0.252,-0.6638,-0.6477,-0.4016,-0.3996,-0.1429
-0.4101,-0.2857,-0.6608,-0.6510666666666667,-0.4303,-0.4334,-0.1531
-0.4006,-0.2706,-0.66395,-0.65075,-0.4171,-0.4203,-0.1582
-0.4346,-0.3016,-0.61905,-0.6606833333333333,-0.4535,-0.4556,-0.1912
-0.4069,-0.2874,-0.6608,-0.6499666666666667,-0.423,-0.4273,-0.1549
-0.4191,-0.294,-0.66155,-0.654,-0.4352,-0.4344,-0.163
-0.3984,-0.2786,-0.609,-0.6518333333333334,-0.4279,-0.4271,-0.1531
-0.4073,-0.2706,-0.66255,-0.6515,-0.4141,-0.4178,-0.151
-0.4088,-0.284,-0.66635,-0.6522833333333333,-0.4259,-0.4264,-0.1645
-0.3854,-0.2583,-0.6526,-0.6432833333333333,-0.399,-0.4006,-0.1234
-0.4079,-0.2908,-0.62155,-0.6594333333333333,-0.4316,-0.4367,-0.193
-0.4302,-0.3095,-0.6635,-0.6566166666666666,-0.4453,-0.446,-0.1696
-0.3993,-0.2804,-0.65905,-0.6493,-0.4187,-0.4265,-0.1534
-0.3918,-0.2661,-0.6586,-0.6471333333333333,-0.4092,-0.4195,-0.1462
-0.4198,-0.3005,-0.66625,-0.6560666666666667,-0.4503,-0.4492,-0.1699
-0.3934,-0.2697,-0.6552,-0.6467666666666667,-0.4078,-0.4123,-0.1387
-0.4198,-0.2965,-0.6721,-0.6575833333333333,-0.443,-0.4441,-0.1867
-0.3986,-0.2795,-0.65905,-0.6459833333333334,-0.4176,-0.4229,-0.1549
-0.425,-0.3096,-0.66685,-0.65625,-0.4468,-0.4485,-0.1717
-0.3922,-0.2764,-0.65245,-0.64285,-0.4076,-0.4171,-0.1282
